scenarioId,dob,asOf,age,numberOfDoses,doseDatesIso,codePath,status,doseLabel,product,recommendedDate
synflorix-2-count-without-dates-age42d,15/01/2022,26/02/2022,0y 1m 11d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-5-count-without-dates-age42d,15/01/2022,26/02/2022,0y 1m 11d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-8-count-without-dates-age42d,15/01/2022,26/02/2022,0y 1m 11d,3,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-11-count-without-dates-age49d,15/01/2022,05/03/2022,0y 1m 18d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-14-count-without-dates-age49d,15/01/2022,05/03/2022,0y 1m 18d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-17-count-without-dates-age49d,15/01/2022,05/03/2022,0y 1m 18d,3,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-20-count-without-dates-age56d,15/01/2022,12/03/2022,0y 1m 25d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-23-count-without-dates-age56d,15/01/2022,12/03/2022,0y 1m 25d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-26-count-without-dates-age56d,15/01/2022,12/03/2022,0y 1m 25d,3,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",eligible-now,doseLabel_dose1,synflorix,2022-03-15
synflorix-29-count-without-dates-age63d,15/01/2022,19/03/2022,0y 2m 4d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-32-count-without-dates-age63d,15/01/2022,19/03/2022,0y 2m 4d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-35-count-without-dates-age63d,15/01/2022,19/03/2022,0y 2m 4d,3,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-38-count-without-dates-age70d,15/01/2022,26/03/2022,0y 2m 11d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-41-count-without-dates-age70d,15/01/2022,26/03/2022,0y 2m 11d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-44-count-without-dates-age70d,15/01/2022,26/03/2022,0y 2m 11d,3,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-47-count-without-dates-age77d,15/01/2022,02/04/2022,0y 2m 18d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-50-count-without-dates-age77d,15/01/2022,02/04/2022,0y 2m 18d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-53-count-without-dates-age77d,15/01/2022,02/04/2022,0y 2m 18d,3,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-56-count-without-dates-age84d,15/01/2022,09/04/2022,0y 2m 25d,1,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
synflorix-59-count-without-dates-age84d,15/01/2022,09/04/2022,0y 2m 25d,2,"","calculatePcv → standardPrimaryPlusBooster / infant path (doses[] empty)",due-now,doseLabel_dose1,synflorix,
